"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
322,"North Austin MUD No. 1, Directors, Place 4 (Vote For 1)","Jackie Oltremari","NON",135,43.83,3445,1647,1,1,"0","0"
323,"North Austin MUD No. 1, Directors, Place 4 (Vote For 1)","Diana Christiano","NON",173,56.17,3445,1647,1,1,"0","0"
324,"Tanglewood Forest Limited District, Directors (Vote For 2)","Brian Whelan","NON",560,27.97,12602,7121,4,4,"0","0"
325,"Tanglewood Forest Limited District, Directors (Vote For 2)","Carolyn Pilgreen","NON",386,19.28,12602,7121,4,4,"0","0"
326,"Tanglewood Forest Limited District, Directors (Vote For 2)","Kimberly Minjarez","NON",418,20.88,12602,7121,4,4,"0","0"
327,"Tanglewood Forest Limited District, Directors (Vote For 2)","Roberto A. Mandujano","NON",257,12.84,12602,7121,4,4,"0","0"
328,"Tanglewood Forest Limited District, Directors (Vote For 2)","Noel J. Gonsalvez","NON",381,19.03,12602,7121,4,4,"0","0"
329,"Vista MUD of Travis County Proposition A (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
330,"Vista MUD of Travis County Proposition A (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
331,"Vista MUD of Travis County Proposition B (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
332,"Vista MUD of Travis County Proposition B (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
333,"Vista MUD of Travis County Proposition C (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
334,"Vista MUD of Travis County Proposition C (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
335,"Vista MUD of Travis County Proposition D (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
336,"Vista MUD of Travis County Proposition D (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
337,"Vista MUD of Travis County Proposition E (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
338,"Vista MUD of Travis County Proposition E (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
339,"Vista MUD of Travis County Proposition F (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
340,"Vista MUD of Travis County Proposition F (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
341,"Vista MUD of Travis County Proposition G (Vote For 1)","For","NON",1,100.00,3705,2352,1,1,"0","0"
342,"Vista MUD of Travis County Proposition G (Vote For 1)","Against","NON",0,0.00,3705,2352,1,1,"0","0"
343,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","David Flores","NON",183,17.50,4290,2571,1,1,"0","0"
344,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","Dan Baur","NON",88,8.41,4290,2571,1,1,"0","0"
345,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","Deborah Dahl","NON",143,13.67,4290,2571,1,1,"0","0"
346,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","Beth Jones","NON",219,20.94,4290,2571,1,1,"0","0"
347,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","Paul Rábago","NON",207,19.79,4290,2571,1,1,"0","0"
348,"Williamson-Travis Counties MUD No. 1, Directors (Vote For 3)","Hanoi Avila","NON",206,19.69,4290,2571,1,1,"0","0"
349,"Travis County ESD No. 1 Proposition A (Vote For 1)","For","NON",5682,61.17,26063,14945,8,8,"0","0"
350,"Travis County ESD No. 1 Proposition A (Vote For 1)","Against","NON",3607,38.83,26063,14945,8,8,"0","0"
351,"Wells Branch Community Library District, Board of Trus (Vote For 3)","Abigail Joffrain","NON",1857,27.42,14158,6176,5,5,"0","0"
352,"Wells Branch Community Library District, Board of Trus (Vote For 3)","Jane Marawar","NON",1708,25.22,14158,6176,5,5,"0","0"
353,"Wells Branch Community Library District, Board of Trus (Vote For 3)","Derek Mahnke","NON",1208,17.84,14158,6176,5,5,"0","0"
354,"Wells Branch Community Library District, Board of Trus (Vote For 3)","Jennifer Christmas","NON",1999,29.52,14158,6176,5,5,"0","0"
355,"ACC, Trustee, Place 4 (Vote For 1)","Sean Hassan","NON",215092,100.00,795960,413546,255,255,"0","0"
356,"ACC, Trustee, Place 5 (Vote For 1)","Manny Gonzalez","NON",217863,100.00,795960,413546,255,255,"0","0"
357,"ACC, Trustee, Place 6 (Vote For 1)","Nathaniel Hellman","NON",94268,42.62,795960,413546,255,255,"0","0"
358,"ACC, Trustee, Place 6 (Vote For 1)","Steve Jackobs","NON",126918,57.38,795960,413546,255,255,"0","0"
359,"ACC District Proposition A (Vote For 1)","For","NON",250042,71.13,795960,413546,255,255,"0","0"
360,"ACC District Proposition A (Vote For 1)","Against","NON",101464,28.87,795960,413546,255,255,"0","0"
