county_name,county_fips,category,note,seconds
PARMER,48369,clean,,63.5
PECOS,48371,clean,,75.1
POLK,48373,clean,,84.1
POTTER,48375,clean,,72.4
PRESIDIO,48377,clean,,68.8
RAINS,48379,clean,,60.4
RANDALL,48381,clean,,66.3
REAGAN,48383,clean,,67.1
REAL,48385,clean,,63.1
RED RIVER,48387,clean,,70.8
REEVES,48389,clean,,72.6
REFUGIO,48391,clean,,64.5
ROBERTS,48393,clean,,58.0
ROBERTSON,48395,clean,,68.4
ROCKWALL,48397,review,leakage 316 votes (0.592%) in 2020,71.4
RUNNELS,48399,clean,,69.8
RUSK,48401,clean,,73.3
SABINE,48403,clean,,67.2
SAN AUGUSTINE,48405,clean,,63.2
SAN JACINTO,48407,partial,clean on 4 cycles; missing 1 yr(s): [2016],69.0
SAN PATRICIO,48409,clean,,81.6
SAN SABA,48411,clean,,68.1
SCHLEICHER,48413,clean,,62.8
SCURRY,48415,clean,,61.0
SHACKELFORD,48417,clean,,60.6
SHELBY,48419,clean,,66.8
SHERMAN,48421,clean,,59.6
SMITH,48423,clean,,121.0
SOMERVELL,48425,clean,,58.8
STEPHENS,48429,clean,,62.6
STERLING,48431,clean,,63.3
STONEWALL,48433,clean,,59.5
SUTTON,48435,clean,,64.6
SWISHER,48437,clean,,63.1
TARRANT,48439,clean,,281.1
TAYLOR,48441,clean,,68.7
TERRELL,48443,clean,,63.2
TERRY,48445,clean,,62.5
THROCKMORTON,48447,clean,,61.0
TITUS,48449,review,leakage 71 votes (0.692%) in 2020,77.7
TOM GREEN,48451,clean,,99.9
TRINITY,48455,partial,clean on 4 cycles; missing 1 yr(s): [2016],71.6
TYLER,48457,clean,,66.5
UPSHUR,48459,clean,,76.4
UPTON,48461,clean,,66.3
UVALDE,48463,clean,,74.2
VAL VERDE,48465,clean,,81.1
VAN ZANDT,48467,clean,,71.7
VICTORIA,48469,clean,,80.7
WALKER,48471,partial,clean on 4 cycles; missing 1 yr(s): [2016],69.0
WALLER,48473,clean,,77.6
WARD,48475,clean,,66.0
WASHINGTON,48477,clean,,74.0
WHARTON,48481,clean,,73.7
WHEELER,48483,clean,,60.8
WICHITA,48485,clean,,73.5
WILBARGER,48487,clean,,64.8
WILLACY,48489,clean,,64.8
WILSON,48493,clean,,66.1
WINKLER,48495,clean,,60.6
WISE,48497,clean,,77.6
WOOD,48499,clean,,87.7
YOAKUM,48501,clean,,60.1
YOUNG,48503,clean,,64.8
ZAPATA,48505,clean,,59.8
ZAVALA,48507,clean,,70.9
