old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2350100,11,706,706,1.0
2350100,23,0,706,0.0
2350200,11,542,542,1.0
2350300,11,612,620,0.9870967741935484
2350300,23,8,620,0.012903225806451613
2350400,11,658,660,0.996969696969697
2350400,23,2,660,0.0030303030303030303
