year,original_votes,interpolated_votes,diff
2016,1457.0,1457.0,0.0
2018,1112.0,1112.0,0.0
2020,1597.0,1597.0,0.0
2022,1036.0,1036.0,0.0
2024,1244.0,1244.0,0.0
