year,original_votes,interpolated_votes,diff
2016,1871.0,1871.0,0.0
2018,1956.0,1956.0,0.0
2020,2428.0,2428.0,0.0
2022,1716.0,1716.0,0.0
2024,2061.0,2061.0,0.0
