year,original_votes,interpolated_votes,diff
2016,34654.0,34654.0,0.0
2018,38029.0,37932.0,97.0
2020,56200.0,56200.0,0.0
2022,42316.0,42316.0,0.0
2024,67227.0,67227.0,0.0
