year,original_votes,interpolated_votes,diff
2016,6891.0,6891.0,0.0
2018,6240.0,6240.0,0.0
2020,7967.0,7967.0,0.0
2022,5945.0,5945.0,0.0
2024,7992.0,7992.0,0.0
