year,original_votes,interpolated_votes,diff
2016,13051.0,13051.0,0.0
2018,12484.0,12484.0,0.0
2020,16422.0,16422.0,0.0
2022,11752.0,11752.0,0.0
2024,15324.0,15324.0,0.0
