year,original_votes,interpolated_votes,diff
2016,3451.0,3449.0,2.0
2018,2995.0,2995.0,0.0
2020,3891.0,3891.0,0.0
2022,2823.0,2823.0,0.0
2024,2969.0,2969.0,0.0
