year,original_votes,interpolated_votes,diff
2016,1346.0,1346.0,0.0
2018,1312.0,1312.0,0.0
2020,1738.0,1738.0,0.0
2022,1296.0,1296.0,0.0
2024,1673.0,1673.0,0.0
