year,original_votes,interpolated_votes,diff
2016,14679.0,14679.0,0.0
2018,14311.0,14311.0,0.0
2020,18695.0,18695.0,0.0
2022,14864.0,14864.0,0.0
2024,19826.0,19826.0,0.0
