year,original_votes,interpolated_votes,diff
2016,4062.0,4062.0,0.0
2018,4034.0,4034.0,0.0
2020,5038.0,5038.0,0.0
2022,3717.0,3717.0,0.0
2024,4959.0,4959.0,0.0
