year,original_votes,interpolated_votes,diff
2016,7389.0,7389.0,0.0
2018,6611.0,6611.0,0.0
2020,8555.0,8555.0,0.0
2022,6116.0,6116.0,0.0
2024,8751.0,8751.0,0.0
