year,original_votes,interpolated_votes,diff
2016,21364.0,21364.0,0.0
2018,20091.0,20091.0,0.0
2020,27423.0,27423.0,0.0
2022,19529.0,19529.0,0.0
2024,27906.0,27906.0,0.0
