year,original_votes,interpolated_votes,diff
2016,2236.0,2236.0,0.0
2018,2027.0,2027.0,0.0
2020,2618.0,2618.0,0.0
2022,1734.0,1734.0,0.0
2024,2366.0,2366.0,0.0
