year,new_district_id,candidate,party,estimated_votes
2016,19,Arrington,REPUBLICAN,4440.0
2016,19,Bonar,LIBERTARIAN,242.0
2016,19,Lawson,OTHER,136.0
2018,19,ARRINGTON,REPUBLICAN,3760.0
2018,19,LEVARIO,DEMOCRAT,578.0
2020,19,ARRINGTON,REPUBLICAN,4957.0
2020,19,BURNES,LIBERTARIAN,116.0
2020,19,WATSON,DEMOCRAT,731.0
2022,19,ARRINGTON,REPUBLICAN,3645.0
2022,19,LEWIS,OTHER,399.0
2024,19,ARRINGTON,REPUBLICAN,4852.0
2024,19,JOHNSON,LIBERTARIAN,306.0
2024,19,LEWIS,OTHER,284.0
