year,original_votes,interpolated_votes,diff
2016,7444.0,7444.0,0.0
2018,7105.0,7105.0,0.0
2020,9608.0,9608.0,0.0
2022,7196.0,7196.0,0.0
2024,9497.0,9497.0,0.0
