year,original_votes,interpolated_votes,diff
2016,8040.0,8040.0,0.0
2018,7373.0,7373.0,0.0
2020,9731.0,9731.0,0.0
2022,7767.0,7767.0,0.0
2024,9598.0,9598.0,0.0
