year,original_votes,interpolated_votes,diff
2016,6753.0,6753.0,0.0
2018,6019.0,6019.0,0.0
2020,7694.0,7694.0,0.0
2022,5551.0,5551.0,0.0
2024,7612.0,7612.0,0.0
