old_precinct_id,new_district_id,fragment_population,weight
4530259,10,846,0.15150429799426934
4530259,37,4738,0.8484957020057307
4530260,37,9475,1.0
4530262,37,10552,1.0
4530263,10,1384,0.1741756858796879
4530263,37,6562,0.8258243141203121
4530266,10,1982,0.545704845814978
4530266,37,1650,0.45429515418502203
4530267,10,2488,0.30693313594868
4530267,37,5618,0.69306686405132
4530268,37,5770,1.0
4530273,10,265,0.038234021064781416
4530273,37,6666,0.9617659789352185
4530274,37,7322,1.0
4530275,37,7273,1.0
4530277,37,17494,1.0
4530301,10,0,0.0
4530301,37,5676,1.0
4530302,27,10210,0.71578799775659
4530302,37,4054,0.28421200224341
4530303,10,2652,0.13007651559741024
4530303,21,578,0.028350009809691976
4530303,27,11809,0.5792132627035511
4530303,37,5349,0.26236021188934666
4530304,27,6618,0.39266642933428264
4530304,37,10236,0.6073335706657174
4530305,10,624,0.5
4530305,37,624,0.5
4530306,10,7543,1.0
4530307,10,3937,1.0
4530307,37,0,0.0
4530308,10,12261,0.9819798173954829
4530308,11,135,0.010812109562710235
4530308,21,90,0.007208073041806823
4530309,27,1378,0.1367741935483871
4530309,37,8697,0.863225806451613
4530310,27,15976,0.7501173819137947
4530310,37,5322,0.24988261808620527
4530311,10,220,0.015616127200454287
4530311,37,13868,0.9843838727995458
4530312,10,4374,1.0
4530313,37,5664,1.0
4530314,10,17178,0.7364314498842494
4530314,37,6148,0.26356855011575064
4530315,27,8442,0.7067392214315613
4530315,37,3503,0.2932607785684387
4530316,10,13925,0.9129950170469446
4530316,21,1102,0.07225281930238657
4530316,27,225,0.014752163650668764
4530317,10,8088,0.9152427294330655
4530317,37,749,0.08475727056693448
4530318,10,4186,1.0
4530319,10,4540,1.0
4530320,10,5069,1.0
4530321,10,126,0.04030710172744722
4530321,37,3000,0.9596928982725528
4530323,10,1709,0.2264175940646529
4530323,37,5839,0.7735824059353471
4530324,10,15011,1.0
4530325,10,4804,0.4901040603958376
4530325,37,4998,0.5098959396041625
4530326,10,4923,0.4522737712448323
4530326,11,5435,0.49931097841065686
4530326,37,527,0.048415250344510795
4530327,10,7988,0.5461506905510735
4530327,11,1195,0.08170381512375222
