year,original_votes,interpolated_votes,diff
2016,1406.0,1406.0,0.0
2018,1274.0,1274.0,0.0
2020,1626.0,1626.0,0.0
2022,1181.0,1181.0,0.0
2024,1455.0,1455.0,0.0
