year,original_votes,interpolated_votes,diff
2016,3237.0,3237.0,0.0
2018,2946.0,2946.0,0.0
2020,3724.0,3724.0,0.0
2022,2226.0,2226.0,0.0
2024,3273.0,3273.0,0.0
