year,original_votes,interpolated_votes,diff
2016,11887.0,11887.0,0.0
2018,11364.0,11364.0,0.0
2020,14849.0,14849.0,0.0
2022,11148.0,11148.0,0.0
2024,15219.0,15219.0,0.0
