year,original_votes,interpolated_votes,diff
2016,29551.0,29538.0,13.0
2018,26257.0,26257.0,0.0
2020,34385.0,34385.0,0.0
2022,24317.0,24317.0,0.0
2024,33360.0,33360.0,0.0
