year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,85.0
2016,13,Thornberry,REPUBLICAN,1337.0
2016,13,Tomlinson,OTHER,35.0
2018,13,DEWEESE,LIBERTARIAN,22.0
2018,13,SAGAN,DEMOCRAT,121.0
2018,13,THORNBERRY,REPUBLICAN,969.0
2020,13,JACKSON,REPUBLICAN,1371.0
2020,13,TRUJILLO,DEMOCRAT,200.0
2020,13,WESTBROOK,LIBERTARIAN,26.0
2022,13,BROWN,DEMOCRAT,85.0
2022,13,JACKSON,REPUBLICAN,951.0
2024,13,JACKSON,REPUBLICAN,1244.0
