year,original_votes,interpolated_votes,diff
2016,1714.0,1714.0,0.0
2018,1863.0,1863.0,0.0
2020,1987.0,1987.0,0.0
2022,1443.0,1443.0,0.0
2024,1981.0,1981.0,0.0
