year,original_votes,interpolated_votes,diff
2016,2815.0,2815.0,0.0
2018,2439.0,2439.0,0.0
2020,3107.0,3107.0,0.0
2022,2377.0,2377.0,0.0
2024,2704.0,2704.0,0.0
