year,original_votes,interpolated_votes,diff
2016,4286.0,4286.0,0.0
2018,3659.0,3659.0,0.0
2020,5084.0,5084.0,0.0
2022,3520.0,3520.0,0.0
2024,4546.0,4546.0,0.0
