year,original_votes,interpolated_votes,diff
2016,1584.0,1584.0,0.0
2018,1588.0,1588.0,0.0
2020,1826.0,1826.0,0.0
2022,1275.0,1275.0,0.0
2024,1619.0,1619.0,0.0
