year,original_votes,interpolated_votes,diff
2016,17610.0,17609.0,1.0
2018,16688.0,16685.0,3.0
2020,22354.0,22354.0,0.0
2022,17844.0,17844.0,0.0
2024,24066.0,24066.0,0.0
