year,original_votes,interpolated_votes,diff
2016,195894.0,195894.0,0.0
2018,199984.0,199606.0,378.0
2020,262210.0,262210.0,0.0
2022,162132.0,162132.0,0.0
2024,240538.0,240538.0,0.0
