old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3690101,13,13,3938,0.003301168105637379
3690101,19,3925,3938,0.9966988318943626
3690201,19,1966,1966,1.0
3690202,13,22,1368,0.01608187134502924
3690202,19,1346,1368,0.9839181286549707
3690301,19,2460,2460,1.0
3690303,19,250,250,1.0
3690401,19,658,658,1.0
3690402,19,2586,2586,1.0
