old_precinct_id,new_district_id,fragment_population,precinct_total,weight
30001,11,0,5196,0.0
30001,19,5196,5196,1.0
30002,19,5656,5656,1.0
30003,19,5308,5308,1.0
30004,11,1,5639,0.00017733640716439085
30004,19,5627,5639,0.9978719631140273
30004,23,11,5639,0.0019507004788082993
