year,original_votes,interpolated_votes,diff
2016,6301.0,6301.0,0.0
2018,5771.0,5771.0,0.0
2020,8002.0,8002.0,0.0
2022,6220.0,6220.0,0.0
2024,8198.0,8198.0,0.0
