year,original_votes,interpolated_votes,diff
2016,4526.0,4526.0,0.0
2018,4123.0,4123.0,0.0
2020,5794.0,5794.0,0.0
2022,3693.0,3693.0,0.0
2024,5629.0,5629.0,0.0
