year,original_votes,interpolated_votes,diff
2016,7616.0,7616.0,0.0
2018,6880.0,6880.0,0.0
2020,9007.0,9007.0,0.0
2022,6775.0,6775.0,0.0
2024,8858.0,8858.0,0.0
