year,original_votes,interpolated_votes,diff
2016,103216.0,103216.0,0.0
2018,93474.0,93474.0,0.0
2020,124371.0,124371.0,0.0
2022,88621.0,88621.0,0.0
2024,118516.0,118516.0,0.0
