year,original_votes,interpolated_votes,diff
2016,7758.0,7758.0,0.0
2018,6634.0,6634.0,0.0
2020,8710.0,8710.0,0.0
2022,6030.0,6030.0,0.0
2024,7158.0,7158.0,0.0
