year,original_votes,interpolated_votes,diff
2016,1353.0,1353.0,0.0
2018,1273.0,1273.0,0.0
2020,1613.0,1613.0,0.0
2022,1154.0,1154.0,0.0
2024,1506.0,1506.0,0.0
