year,original_votes,interpolated_votes,diff
2016,6458.0,6458.0,0.0
2018,6197.0,6197.0,0.0
2020,8020.0,8020.0,0.0
2022,5518.0,5518.0,0.0
2024,7551.0,7551.0,0.0
